Marka;Model;Seri;Yıl;Kilometre;Renk;Fiyat;Yer;Yakıt Tipi;Vites Tipi;Kasa Tipi;Motor Hacmi;Motor Gücü;Yakıt Deposu;Çekiş;Kimden
BMW;116d ED EfficientDynamics;1 Serisi;2014;210000;Kırmızı;745000;Atatürk Mh. Şehitkamil, Gaziantep;Dizel;Düz;Hatchback/5;1598 cc;116 hp;52 lt;Arkadan İtiş;Sahibinden
BMW;520i Premium;5 Serisi;2014;285000;Siyah;1020000;Şafak Mh. Merkez, Batman;Benzin;Otomatik;Sedan;1592 cc;170 hp;70 lt;Arkadan İtiş;Sahibinden
BMW;116d Joy Plus;1 Serisi;2016;104125;Siyah;1145000;Zafer Mh. Esenyurt, İstanbul;Dizel;Otomatik;Hatchback/5;1496 cc;116 hp;52 lt;Arkadan İtiş;Sahibinden
BMW;318i Standart;3 Serisi;2001;394000;Beyaz;475000;Emek Mh. Çankaya, Ankara;LPG & Benzin;Otomatik;Sedan;1995 cc;143 hp;63 lt;Arkadan İtiş;Sahibinden
BMW;218i Gran Coupe M Sport;2 Serisi;2021;52000;Beyaz;1870000;Yalı Mh. Güzelbahçe, İzmir;Benzin;Otomatik;Coupe;1499 cc;140 hp;42 lt;Önden Çekiş;Sahibinden
BMW;320i;3 Serisi;1999;358000;Siyah;450000;Hocacihan Mh. Selçuklu, Konya;Benzin;Otomatik;Sedan;1991 cc;150 hp;63 lt;Arkadan İtiş;Sahibinden
BMW;520i Standart;5 Serisi;2014;200000;Siyah;1215000;Esentepe Mh. Çorlu, Tekirdağ;Benzin;Otomatik;Sedan;1592 cc;170 hp;70 lt;Arkadan İtiş;Sahibinden
BMW;116i Standart;1 Serisi;2008;123500;Siyah;680000;Hocacihan Mh. Selçuklu, Konya;Benzin;Otomatik;Hatchback/5;1596 cc;116 hp;53 lt;Arkadan İtiş;Sahibinden
BMW;520d Comfort;5 Serisi;2012;225000;Beyaz;1300000;Abdulvahabigazi Mh. Merkez, Sivas;Dizel;Otomatik;Sedan;1995 cc;184 hp;70 lt;Arkadan İtiş;Sahibinden
BMW;316i M Sport;3 Serisi;2013;199750;Beyaz;1099000;Yenişehir Mh. Yahşihan, Kırıkkale;Benzin;Otomatik;Sedan;1598 cc;136 hp;60 lt;Arkadan İtiş;Galeriden
BMW;320i ED Modern Line;3 Serisi;2013;178000;Kahverengi;1169000;Yenişehir Mh. Yahşihan, Kırıkkale;Benzin;Otomatik;Sedan;1598 cc;170 hp;60 lt;Arkadan İtiş;Galeriden
BMW;316i M Sport;3 Serisi;2015;175000;Mavi;1280000;Gölhisar Mh. Merkez, Kırşehir;Benzin;Otomatik;Sedan;1598 cc;136 hp;60 lt;Arkadan İtiş;Galeriden
BMW;316i Modern Line;3 Serisi;2012;112000;Beyaz;1215000;Yiğitler Mh. Yıldırım, Bursa;Benzin;Otomatik;Sedan;1598 cc;136 hp;60 lt;Arkadan İtiş;Galeriden
BMW;330i Standart;3 Serisi;2001;340000;Gri;575000;Beşikkaya Mh. Altındağ, Ankara;LPG & Benzin;Düz;Sedan;2501 - 3000 cm3;226 - 250 HP;;Arkadan İtiş;Galeriden
BMW;520i Executive M Sport;5 Serisi;2016;243000;Siyah;1450000;İstasyon Mh. Sincan, Ankara;Benzin;Otomatik;Sedan;1592 cc;170 hp;70 lt;Arkadan İtiş;Galeriden
BMW;116d ED Sport Line;1 Serisi;2012;154000;Kırmızı;765000;Sütçüler Mh. Kepez, Antalya;Dizel;Düz;Hatchback/5;1598 cc;116 hp;52 lt;Arkadan İtiş;Galeriden
BMW;520d Standart;5 Serisi;2008;398000;Gri;765000;Önder Mh. Altındağ, Ankara;Dizel;Otomatik;Sedan;1995 cc;177 hp;70 lt;Arkadan İtiş;Galeriden
BMW;525d xDrive Premium;5 Serisi;2013;278000;Beyaz;1750000;Erkilet Osman Gazi Mh. Kocasinan, Kayseri;Dizel;Otomatik;Sedan;1995 cc;218 hp;70 lt;4WD (Sürekli);Galeriden
BMW;530i xDrive Executive M;5 Serisi;2017;116000;Füme;2925000;Fevziçakmak Mh. Karatay, Konya;Benzin;Otomatik;Sedan;1998 cc;252 hp;68 lt;4WD (Sürekli);Galeriden
