Marka,Model,Seri,Yıl,Kilometre,Renk,Fiyat,Yer,Yakıt Tipi,Vites Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Yakıt Deposu,Çekiş,Kimden
Fiat,1.3 Multijet Urban,Linea,2017.0,88000.0,Beyaz,565000.0,"Demirtaş Barbaros Mh. Osmangazi, Bursa",Dizel,Düz,Sedan,1248 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Easy,Egea,2020.0,267000.0,Beyaz,529000.0,"Karacaahmet Mh. Şehitkamil, Gaziantep",Dizel,Düz,Sedan,1248 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Pop,Linea,2015.0,400000.0,Beyaz,268000.0,"Gürselpaşa Mh. Seyhan, Adana",Dizel,Düz,Sedan,1248 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Urban,Egea,2016.0,120000.0,Beyaz,311000000.0,"Gürselpaşa Mh. Seyhan, Adana",Dizel,Düz,Sedan,1248 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Active,Albea,2006.0,165000.0,Gri,265000.0,"Atatürk Mh. Lüleburgaz, Kırklareli",Dizel,Düz,Sedan,1201 - 1400 cm3,51 - 75 HP,,Önden Çekiş,Galeriden
Fiat,1.6 SX,Tipo,1995.0,289000.0,Beyaz,234900.0,"Altınyaprak Mh. Bafra, Samsun",LPG & Benzin,Düz,Hatchback/3,1581 cc,75 hp,55 lt,Önden Çekiş,Galeriden
Fiat,1.2 EL,Siena,2001.0,29400.0,Mavi,235000.0,"Şelale Mh. Manavgat, Antalya",LPG & Benzin,Düz,Sedan,1242 cc,74 hp,51 lt,Önden Çekiş,Galeriden
Fiat,1.4 Fire Easy,Egea,2020.0,137000.0,Beyaz,615000.0,"Yeşiloba Mh. Seyhan, Adana",Benzin,Düz,Sedan,1368 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Easy Plus,Egea,2021.0,78000.0,Beyaz,719500.0,"Hürriyet Mh. Gebze, Kocaeli",Dizel,Düz,Sedan,1248 cc,95 hp,50 lt,Önden Çekiş,Galeriden
Fiat,1.4 Turbo Dynamic Plus,Linea,2009.0,260000.0,Beyaz,335000.0,"Güzelyalı Mh. Şehitkamil, Gaziantep",LPG & Benzin,Düz,Sedan,1368 cc,120 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.4 Fire Easy,Egea,2019.0,185000.0,Beyaz,539750.0,"Yeşiloba Mh. Seyhan, Adana",Benzin,Düz,Sedan,1201 - 1400 cm3,76 - 100 HP,,Önden Çekiş,Galeriden
Fiat,1.4 Fire Street,Egea,2020.0,99000.0,Beyaz,649900.0,"Balıkhisar Mh. Akyurt, Ankara",LPG & Benzin,Düz,Hatchback/5,1368 cc,95 hp,50 lt,Önden Çekiş,Galeriden
