date;home_team;away_team;home_score;away_score;League;weather;wind;temperature;wind_speed;humidity;pressure
22.02.2009;B. Leverkusen;Hamburg;1;2;Bundesliga;Mostly Cloudy;SSW;39 °F;6 mph;87 %;29.97 in
13.02.2009;Hoffenheim;B. Leverkusen;1;4;Bundesliga;N/A;W;33 °F;7 mph;80 %;29.81 in
14.02.2009;Hertha Berlin;Bayern Münih;2;1;Bundesliga;Fair;NNW;25 °F;6 mph;93 %;30.06 in
14.02.2009;Bochum;Schalke 04;2;1;Bundesliga;Mostly Cloudy;N;32 °F;8 mph;93 %;29.70 in
14.02.2009;E. Frankfurt;Wolfsburg;0;2;Bundesliga;Mostly Cloudy;SW;32 °F;7 mph;100 %;29.66 in
14.02.2009;Hannover 96;Stuttgart;3;3;Bundesliga;Fair;NNW;25 °F;6 mph;93 %;30.06 in
14.02.2009;Köln;Karlsruher;0;0;Bundesliga;Fair;NNW;25 °F;6 mph;93 %;30.06 in
14.02.2009;Werder Bremen;M'gladbach;1;1;Bundesliga;Fair;NNE;30 °F;12 mph;86 %;30.12 in
15.02.2009;B. Dortmund;E. Cottbus;1;1;Bundesliga;Fair;S;23 °F;8 mph;100 %;29.90 in
15.02.2009;Hamburg;A. Bielefeld;2;0;Bundesliga;Mostly Cloudy;VAR;25 °F;1 mph;100 %;30.27 in
06.02.2009;A. Bielefeld;Hertha Berlin;1;1;Bundesliga;Mostly Cloudy;SE;39 °F;6 mph;93 %;29.30 in
07.02.2009;Schalke 04;Werder Bremen;1;0;Bundesliga;Fair;ESE;37 °F;6 mph;93 %;29.21 in
07.02.2009;Karlsruher;Hamburg;3;2;Bundesliga;Fair;ESE;37 °F;6 mph;93 %;29.21 in
07.02.2009;B. Leverkusen;Stuttgart;2;4;Bundesliga;Fair;ESE;39 °F;6 mph;87 %;28.89 in
07.02.2009;Wolfsburg;Bochum;2;0;Bundesliga;Fair;WSW;58 °F;8 mph;76 %;30.06 in
07.02.2009;M'gladbach;Hoffenheim;1;1;Bundesliga;Fair;SSE;41 °F;6 mph;87 %;29.08 in
07.02.2009;E. Frankfurt;Köln;2;2;Bundesliga;Fair;N;37 °F;5 mph;100 %;28.85 in
08.02.2009;E. Cottbus;Hannover 96;3;1;Bundesliga;Mostly Cloudy;WNW;36 °F;7 mph;93 %;29.24 in
08.02.2009;Bayern Münih;B. Dortmund;3;1;Bundesliga;Mostly Cloudy;WSW;36 °F;3 mph;93 %;27.78 in
30.01.2009;Hamburg;Bayern Münih;1;0;Bundesliga;Mostly Cloudy;SE;27 °F;7 mph;100 %;30.30 in
31.01.2009;Hannover 96;Schalke 04;1;0;Bundesliga;Cloudy;ENE;32 °F;7 mph;93 %;30.27 in
31.01.2009;Köln;Wolfsburg;1;1;Bundesliga;Cloudy;ENE;32 °F;7 mph;93 %;30.27 in
31.01.2009;B. Dortmund;B. Leverkusen;1;1;Bundesliga;Fair;E;25 °F;6 mph;86 %;29.70 in
31.01.2009;Hertha Berlin;E. Frankfurt;2;1;Bundesliga;Cloudy;ENE;32 °F;7 mph;93 %;30.27 in
31.01.2009;Hoffenheim;E. Cottbus;2;0;Bundesliga;Cloudy;ENE;31 °F;9 mph;74 %;29.86 in
31.01.2009;Stuttgart;M'gladbach;2;0;Bundesliga;Cloudy;E;28 °F;6 mph;80 %;28.63 in
01.02.2009;Bochum;Karlsruher;2;0;Bundesliga;Fair;NE;28 °F;8 mph;80 %;29.50 in
01.02.2009;Werder Bremen;A. Bielefeld;1;2;Bundesliga;Mostly Cloudy;NE;34 °F;8 mph;87 %;30.12 in
12.12.2008;B. Dortmund;M'gladbach;2;1;Bundesliga;Mostly Cloudy;SSW;32 °F;5 mph;93 %;29.50 in
13.12.2008;Werder Bremen;Wolfsburg;2;1;Bundesliga;Fair;SE;30 °F;6 mph;93 %;30.03 in
13.12.2008;Hamburg;E. Frankfurt;1;0;Bundesliga;Mostly Cloudy;S;36 °F;9 mph;81 %;30.00 in
13.12.2008;Stuttgart;Bayern Münih;2;2;Bundesliga;Mostly Cloudy;NE;30 °F;5 mph;93 %;28.54 in
13.12.2008;B. Leverkusen;E. Cottbus;1;1;Bundesliga;Cloudy;SE;30 °F;13 mph;86 %;29.68 in
13.12.2008;Hannover 96;A. Bielefeld;1;1;Bundesliga;Mostly Cloudy;S;36 °F;9 mph;81 %;30.00 in
