date;home_team;away_team;home_score;away_score;League;weather;wind;temperature;wind_speed;humidity;pressure
22.04.2000;Antalyaspor;Beşiktaş;2;2;Süper Lig;Mostly Cloudy;ESE;61 °F;8 mph;82 %;29.65 in
23.04.2000;Gaziantepspor;İstanbulspor;1;0;Süper Lig;Partly Cloudy;CALM;55 °F;0 mph;94 %;29.73 in
23.04.2000;Kocaelispor;Ankaragücü;4;1;Süper Lig;Partly Cloudy;CALM;55 °F;0 mph;94 %;29.73 in
23.04.2000;Göztepe;Erzurumspor;1;4;Süper Lig;Partly Cloudy;SSE;57 °F;5 mph;82 %;29.53 in
23.04.2000;Galatasaray;Denizlispor;2;2;Süper Lig;Partly Cloudy;CALM;55 °F;0 mph;94 %;29.73 in
14.04.2000;Beşiktaş;Galatasaray;1;1;Süper Lig;Fair;NW;50 °F;2 mph;87 %;29.73 in
15.04.2000;Denizlispor;Adanaspor;4;2;Süper Lig;Fair;CALM;59 °F;0 mph;77 %;29.76 in
15.04.2000;Gençlerbirliği;Antalyaspor;4;1;Süper Lig;Fair;CALM;59 °F;0 mph;77 %;29.76 in
15.04.2000;Altay;Gaziantepspor;1;3;Süper Lig;Fair;CALM;59 °F;0 mph;77 %;29.76 in
15.04.2000;Kocaelispor;Trabzonspor;1;0;Süper Lig;Fair;CALM;59 °F;0 mph;77 %;29.76 in
16.04.2000;Vanspor;Ankaragücü;2;3;Süper Lig;Fair;CALM;64 °F;0 mph;49 %;29.76 in
16.04.2000;Samsunspor;İstanbulspor;1;0;Süper Lig;Fair;WSW;65 °F;7 mph;89 %;30.06 in
16.04.2000;Erzurumspor;Bursaspor;4;1;Süper Lig;Fair;CALM;64 °F;0 mph;49 %;29.76 in
16.04.2000;Fenerbahçe;Göztepe;2;3;Süper Lig;Fair;CALM;64 °F;0 mph;49 %;29.76 in
07.04.2000;Bursaspor;Fenerbahçe;2;1;Süper Lig;Mostly Cloudy;WSW;59 °F;10 mph;67 %;29.67 in
08.04.2000;İstanbulspor;Altay;1;0;Süper Lig;Partly Cloudy;E;50 °F;10 mph;76 %;29.85 in
08.04.2000;Göztepe;Samsunspor;1;2;Süper Lig;Partly Cloudy;NW;57 °F;9 mph;67 %;29.47 in
08.04.2000;Adanaspor;Beşiktaş;1;3;Süper Lig;Partly Cloudy;E;50 °F;10 mph;76 %;29.85 in
08.04.2000;Kocaelispor;Gaziantepspor;1;2;Süper Lig;Partly Cloudy;E;50 °F;10 mph;76 %;29.85 in
09.04.2000;Trabzonspor;Vanspor;4;2;Süper Lig;Fair;WSW;55 °F;8 mph;94 %;30.06 in
09.04.2000;Ankaragücü;Denizlispor;3;1;Süper Lig;Partly Cloudy;CALM;46 °F;0 mph;57 %;29.91 in
09.04.2000;Antalyaspor;Erzurumspor;1;2;Süper Lig;Mostly Cloudy;NW;59 °F;8 mph;51 %;29.65 in
09.04.2000;Galatasaray;Gençlerbirliği;6;0;Süper Lig;Partly Cloudy;CALM;46 °F;0 mph;57 %;29.91 in
31.03.2000;Denizlispor;Trabzonspor;0;2;Süper Lig;Fair;CALM;63 °F;0 mph;55 %;29.79 in
01.04.2000;Vanspor;Gaziantepspor;1;2;Süper Lig;Fair;CALM;59 °F;0 mph;51 %;29.79 in
01.04.2000;Erzurumspor;Galatasaray;0;0;Süper Lig;Fair;CALM;59 °F;0 mph;51 %;29.79 in
01.04.2000;Gençlerbirliği;Adanaspor;5;2;Süper Lig;Fair;CALM;59 °F;0 mph;51 %;29.79 in
01.04.2000;Göztepe;Bursaspor;0;1;Süper Lig;Fair;SSE;54 °F;2 mph;67 %;29.53 in
